unit,mean_zscore,sem_zscore
0,0.0787928100829918,0.0029047819405654
1,0.3454105589298759,0.0028386009478791
2,0.5189497934478863,0.0029574864369181
3,0.3511615641899227,0.0028796817231396
4,0.3302177374009811,0.0028121215979799
5,0.384281286331398,0.0027594297312077
6,0.1619183707174237,0.0026490790333078
7,0.492799433965341,0.0029801390993434
8,0.1510410427642504,0.0026660207858646
9,0.2729366809828858,0.002764824860925
10,0.3052763863795915,0.0028305499376162
11,0.2572555953363789,0.0027633689345416
12,0.2518688281644617,0.0026454412760619
13,0.4676404368518909,0.0030744818578044
14,0.4097838632600264,0.0028137968691659
15,0.5137477177952624,0.0029692712121614
16,0.0900705879913721,0.0024814798020124
17,0.1772682024294719,0.0026898753138023
18,0.179235325705542,0.0026073130115013
19,0.2147224112560586,0.002614947345127
20,0.2446766958758669,0.0028511043445822
21,0.3341680578330073,0.0027209320580758
22,0.3388808505336186,0.0028835361958591
23,0.1671420422242546,0.0026437118717925
24,0.3135097752053622,0.0027802716330395
25,0.2527295792177819,0.0027130857848837
26,0.0910965216060808,0.0025472475973035
27,0.3224201677045453,0.0028219775520014
28,0.0407130674732421,0.0024246257895153
29,0.2863306996707846,0.0026512667859482
30,0.0470885410900068,0.0024774126350724
31,0.2096226875584741,0.0028606775962352
32,0.1144840459969772,0.002634246307501
33,0.2246969070158553,0.0026654732482393
34,0.2602683894329893,0.0026179045993584
35,0.4229587529022562,0.0028812166184848
36,0.2483597898006261,0.0027045511814471
37,0.1657032248853706,0.0027193611142576
38,0.3062116200900935,0.0027736324393995
39,0.3568769061690495,0.0028761203089951
40,0.3587006013844892,0.0027531055409453
41,0.2183951775036128,0.0026457192234806
42,0.2683855101918652,0.0027505027727136
43,0.2958134561553094,0.0027264368319875
44,0.2145102518494879,0.0026483459503594
45,0.4820006081229861,0.0028035015337999
46,0.2638854325359546,0.0026934607141973
47,0.1739867088807547,0.0026034912196349
48,0.3144475949378346,0.0027602633173443
49,0.1557646985018886,0.0026572283386002
50,0.2273173412515972,0.0026916437152229
51,0.0715241843656159,0.002514221526228
52,0.4122355659635284,0.0028988755882691
53,0.2019586508922899,0.0026439648105143
54,0.1965764656119981,0.0026738271321922
55,0.1695122971064611,0.0026878175883867
56,0.2065110958027331,0.002709463597863
57,0.0948041682752942,0.0025370937280542
58,0.1603391989301223,0.0025887488718876
59,0.0780847471127809,0.0025262763162764
60,0.0238315396227063,0.0024356794806716
61,0.0959244411271524,0.0025624543540334
62,0.1214402186091165,0.0024864458972935
63,0.15704053516804,0.0024789912067732
64,0.2518596785489318,0.0026844353770698
65,0.2561126028644746,0.0026940868704653
66,0.2610929539358159,0.0026968856319316
67,0.250497972604284,0.0026380526464785
68,0.3623748064606373,0.0029175340162586
69,0.1966287050724436,0.0026540445789529
70,0.1738060829436548,0.0027248759725885
71,0.1335758134118934,0.0025476199795802
72,0.1213964085613591,0.0027186631650712
73,0.153465699457212,0.0026389329791746
74,0.1911006868745498,0.002761904609104
75,0.1151150512850369,0.0025537518562612
76,0.1422337555169915,0.0025801827209274
77,0.1100761632997878,0.0025469347295379
78,0.0993678026747693,0.0025305799037581
79,0.20675529192876,0.0025835752141446
80,0.1629443834630048,0.0026530130580739
81,0.1161358729444817,0.0025705337464886
82,0.0810242045635825,0.0024889585433291
83,0.0395202748568625,0.0024942339667693
84,0.0968965650664046,0.0026089136732466
85,0.0841719309141191,0.0025182219506065
86,0.0159288199721676,0.0024377811822015
87,0.0692466127210407,0.0024200202241044
88,0.1275382809874124,0.002543549308549
89,0.1305423701960398,0.0025179486447286
90,0.0683479683932972,0.0025112645148349
91,0.0487956438605273,0.0024904395787125
92,0.0674555300236727,0.0025057992459628
93,0.0732516270714182,0.0025251689229231
94,0.0542838701422446,0.0024982965603386
95,0.243021486472741,0.0026832484379896
96,0.1454970016475924,0.0025567532566281
97,0.1952686402699806,0.002640446258378
98,0.1876717756356375,0.0026910220543822
99,0.2294599695756151,0.0026801055155678
100,0.139701326009648,0.0026048009113617
101,0.2343635548654097,0.0026371878125209
102,0.1239527570357798,0.0025672828352635
103,0.0921996093922607,0.0025293301127348
104,0.2221987680668659,0.0026715196363548
105,0.0897629433367162,0.0025546718131702
106,0.1322875607731076,0.0026104767759126
107,0.134042927172254,0.0025671514856463
108,0.0988073240610993,0.0025420424394353
109,0.1163180633438296,0.0025723276559895
110,0.0812623299051583,0.0025032884691385
111,0.1098270505800814,0.0025434404613445
112,0.1950273880458453,0.0025949166867891
113,0.1733103440179438,0.0025427204764704
114,0.0869456184231095,0.0024705939367579
115,0.1645662339803907,0.0026599474471439
116,0.1240227316541925,0.0025360439095544
117,0.164102018870652,0.0026122926196652
118,0.0861303630030283,0.0024880617576895
119,0.1495030580082194,0.0025965226552479
120,0.1957187937980385,0.0025893580076094
121,0.2024452078243686,0.0026002624507331
122,0.1422921386795922,0.0025365457028196
123,0.1388055641406913,0.0025792434926551
124,0.160299140334631,0.0025591935996881
125,0.2717191049511446,0.0026747603316106
126,0.0681632455414641,0.0024235798210119
127,0.1580255374553139,0.0025925033994858
128,0.1977560445695586,0.0026483195764073
129,0.2126398678433714,0.0026313990486883
130,0.1495000697595931,0.002580884628308
131,0.21477539607119,0.0026265519350838
132,0.1769499282122141,0.0026879059004889
133,0.3389362948966066,0.0026960460738147
134,0.0585366801446356,0.0024999087425392
135,0.2345201142390038,0.0026538008202565
136,0.0697353045783566,0.0024955356955385
137,0.0550985077220933,0.002476645118264
138,0.0855661035402303,0.0024744256387815
139,0.0229416719097169,0.0024443635955959
140,0.0475664976540681,0.0024772177497218
141,0.0350954684738759,0.002490335016734
142,0.1592786710945227,0.0025636186501966
143,0.1247122167096013,0.0026239849141867
144,0.0750843141303381,0.0025049784956134
145,0.2064810992327143,0.0026724628901383
146,0.1857456996907044,0.0026290169007129
147,0.1970111811242655,0.0026213694758827
148,0.1166968483135225,0.0025131090623712
149,0.1097177340295176,0.0025582926284855
150,0.103200930797861,0.0025747968001021
151,0.2066228906372902,0.0026193358342025
152,0.1151085734389763,0.0025881379045558
153,0.2627157749740428,0.0027750512443303
154,0.1248690251999069,0.0025954308824795
155,0.2732546208836255,0.0026758758859963
156,0.155023134008084,0.0024250643969077
157,0.2068568981948436,0.0025850062706017
158,0.2213473985779879,0.0026213201743049
159,0.1057748767739612,0.0025054712913063
160,0.155516067210285,0.0026931265860317
161,0.1128342082841965,0.0025031250207994
162,0.1545371171432845,0.0026492232287802
163,0.1442217242935723,0.0025127023563201
164,0.1835042388252264,0.0026569949307056
165,0.0766129722963575,0.0025995067984253
166,0.2618627447378622,0.0027418462685615
167,0.1262011035719174,0.0025603983717217
168,0.1780569548638964,0.0025432364891937
169,0.1159785779343004,0.0025324251911442
170,0.0865536205743441,0.0024529050618311
171,0.1561134379977444,0.0025736328334036
172,0.1928773273089866,0.0026446390960112
173,0.1070611205926751,0.002544106196378
174,0.1554113459202923,0.002524366965923
175,0.1796808983551129,0.0025765266852399
176,0.2505083632426507,0.0027073362307355
177,0.1953086700479089,0.0026337320174093
178,0.0547794616509383,0.0024981469532752
179,0.1687686711280788,0.0026088397637444
180,0.056026301499413,0.002516873901746
181,0.1104897208062103,0.0025475876317973
182,0.1598072324978265,0.0025879335968539
183,0.0678494573238296,0.0025326146346702
184,0.1733445985340538,0.0026239984703018
185,0.0734007045110152,0.0025196174076537
186,0.2151148959201297,0.0026592398977182
187,0.2795058920528432,0.0027481772214431
188,0.1330918000851575,0.0026004361147797
189,0.0685737599128993,0.0025023024821398
190,0.2396654312380302,0.0026853495080334
