feature_idx,peak_bin,peak_value,mean_value,selectivity
59,1,2.8211564241568197,0.8038143269620048,3.5097115459695734
84,1,1.0276807732784974,0.34398471731457586,2.9875768356786923
5,1,29.71066155087531,10.378046452918763,2.862837595269917
39,1,2.0429221899433294,0.758980784471994,2.691665232819897
31,1,62.502554886050916,23.67565557512892,2.639950335808555
20,1,60.919030337631995,23.78552801011273,2.5611804922610886
120,1,199.6463873789848,147.6719449822232,1.3519588125084825
26,2,47.203722084591504,16.556177703365144,2.8511243917728195
55,2,79.11480996321468,28.43552943624893,2.782252046355755
47,2,51.18991054422433,18.44619432504427,2.7750933142194203
117,2,14.101129643291028,5.300824809722098,2.6601765101587342
48,2,53.16500528044963,20.31489100758926,2.6170460506328372
19,2,42.331772117335,16.565861311271796,2.555361977377532
40,2,0.22548390004198204,0.0884944469619579,2.5480005557565133
54,2,60.73156300689254,24.480751588559826,2.4807883363871768
108,2,45.19174427107342,19.36917708258265,2.333178331655085
6,2,72.033499968487,31.44281280310285,2.2909368961220062
42,2,57.08258937804443,25.047405559733836,2.2789821182042513
101,2,27.027543229515125,11.955138822210404,2.2607469165729603
82,2,77.35865198586069,34.861329122474736,2.219039088099115
29,2,67.94927926376724,31.0306083450198,2.1897501495381233
83,2,17.810557354424354,8.153630529156002,2.18437140249802
22,2,44.24664229047444,20.96513413241532,2.1104869642623094
74,2,23.54045287523332,11.911405756706332,1.9762951037058454
62,2,52.09018732377814,26.606383056158826,1.9578079145079206
53,2,14.8109484619103,7.57322203686778,1.9556997523388375
92,2,21.13681266474259,10.908850465803226,1.937583866512862
113,2,52.892140490570874,29.106634027397284,1.8171850596253805
93,2,34.40511307826101,21.287050372402966,1.6162461438464015
67,3,81.80526659742198,30.819116464848577,2.65436767763038
89,3,68.52826985021846,26.47464646517279,2.5884489124478143
28,3,78.43099904422155,32.95038283854251,2.3802758052473476
70,3,76.93444701908616,33.017924055112736,2.3300812882926154
63,3,75.21110025248365,32.379891607340454,2.3227718352038003
44,3,51.6193467980218,22.60349983535063,2.2836882418222113
11,3,75.31293541389613,33.05853165465165,2.2781694057272985
61,3,83.78109513258354,38.166112004242244,2.1951697653475915
7,3,82.61189932532312,39.26968669130797,2.103706606439707
